"module name","license","repository"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.28.5","MIT","https://github.com/babel/babel"
"@babel/core@7.28.5","MIT","https://github.com/babel/babel"
"@babel/generator@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.28.3","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.28.4","MIT","https://github.com/babel/babel"
"@babel/parser@7.28.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-self@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-react-jsx-source@7.27.1","MIT","https://github.com/babel/babel"
"@babel/template@7.27.2","MIT","https://github.com/babel/babel"
"@babel/traverse@7.28.5","MIT","https://github.com/babel/babel"
"@babel/types@7.28.5","MIT","https://github.com/babel/babel"
"@esbuild/darwin-arm64@0.21.5","MIT","https://github.com/evanw/esbuild"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@rolldown/pluginutils@1.0.0-beta.27","MIT","https://github.com/rolldown/rolldown"
"@rollup/rollup-darwin-arm64@4.53.3","MIT","https://github.com/rollup/rollup"
"@types/babel__core@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.27.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
